x,y,z,C,R,G,B
-6.100052, -5.088192, 1.697879, 2, 0.490387, 0.453792, 0.837573
-6.117094, -5.092819, 0.510820, 2, 0.490387, 0.453792, 0.837573
-5.965051, -4.576892, 2.298101, 2, 0.490387, 0.453792, 0.837573
-6.125228, -5.079751, 2.338407, 2, 0.490387, 0.453792, 0.837573
-6.179518, -5.532014, 2.348359, 2, 0.490387, 0.453792, 0.837573
-5.931134, -5.723923, 2.249065, 2, 0.490387, 0.453792, 0.837573
-6.149659, -5.100012, 2.021299, 2, 0.490387, 0.453792, 0.837573
-5.846933, -5.226378, 1.903483, 2, 0.490387, 0.453792, 0.837573
-6.113376, -5.067581, 1.697252, 2, 0.490387, 0.453792, 0.837573
-6.222781, -5.153325, 1.113806, 2, 0.490387, 0.453792, 0.837573
-6.221790, -5.149211, 0.812804, 2, 0.490387, 0.453792, 0.837573
-6.225726, -5.151003, 0.518569, 2, 0.490387, 0.453792, 0.837573
-5.962334, -4.545813, 2.291671, 2, 0.490387, 0.453792, 0.837573
-6.231684, -5.544368, 2.361708, 2, 0.490387, 0.453792, 0.837573
-5.990441, -5.745768, 2.264859, 2, 0.490387, 0.453792, 0.837573
-5.878923, -5.222614, 1.908672, 2, 0.490387, 0.453792, 0.837573
-5.957195, -4.513063, 2.284363, 2, 0.490387, 0.453792, 0.837573
-6.283263, -5.555816, 2.374784, 2, 0.490387, 0.453792, 0.837573
-5.938212, -5.660796, 2.238536, 2, 0.490387, 0.453792, 0.837573
-5.904388, -5.212915, 1.911739, 2, 0.490387, 0.453792, 0.837573
-6.460474, -6.144900, 2.073210, 2, 0.490387, 0.453792, 0.837573
-5.911517, -5.215354, 1.605016, 2, 0.490387, 0.453792, 0.837573
-5.961845, -4.487863, 2.280856, 2, 0.490387, 0.453792, 0.837573
-6.291606, -5.528891, 2.371515, 2, 0.490387, 0.453792, 0.837573
-5.978662, -5.664448, 2.247222, 2, 0.490387, 0.453792, 0.837573
-5.935693, -5.208235, 1.916692, 2, 0.490387, 0.453792, 0.837573
-6.472218, -6.118359, 2.070945, 2, 0.490387, 0.453792, 0.837573
-5.938541, -5.206884, 1.608008, 2, 0.490387, 0.453792, 0.837573
-5.964098, -4.460959, 2.276471, 2, 0.490387, 0.453792, 0.837573
-6.309263, -5.510196, 2.371788, 2, 0.490387, 0.453792, 0.837573
-6.010059, -5.659306, 2.252487, 2, 0.490387, 0.453792, 0.837573
-5.986067, -5.220019, 1.927778, 2, 0.490387, 0.453792, 0.837573
